,avatar_id,activity,conformity,diversity,taste,reason
0,0,가끔봄,동조형,취향형, I enjoy heartwarming and inspirational movies.|  I have a fondness for classic family-friendly films.," Because I rated movies like Erin Brockovich, Dead Poets Society, and The Secret Garden highly for their uplifting and motivational themes.|  This is evident from my high ratings for movies like E.T. the Extra-Terrestrial, Toy Story 2, and Mary Poppins, which are beloved by audiences of all ages."
1,1,자주봄,균형형,취향형, Eclectic|  Intense," I enjoy a wide range of genres, from drama to action to comedy, as seen in my high ratings for movies like Misérables, Men in Black, and Groundhog Day.|  I appreciate movies with deep emotional impact and thought-provoking themes, evident in my ratings for films like American History X, Leaving Las Vegas, and The Green Mile."
2,2,자주봄,균형형,균형형, Classic Comedy|  Action Adventure," I enjoy movies like ""Blazing Saddles"" and ""Arsenic and Old Lace"" which are timeless comedy classics with witty humor and clever storytelling.|  I have a soft spot for action-packed movies like ""Escape from New York"" and ""Jurassic Park"" that keep me on the edge of my seat with thrilling adventures and exciting plot twists."
3,3,가끔봄,독립형,균형형, Romantic Comedy Enthusiast|  Classic Musical Lover," I enjoy movies like My Best Friend's Wedding, It Could Happen to You, and Four Weddings and a Funeral which are all romantic comedies with a mix of humor and heartfelt moments.|  I have a soft spot for musicals like Singin' in the Rain and Dirty Dancing, where the music and dance sequences play a significant role in the storytelling."
4,4,가끔봄,균형형,취향형, Action-packed thrillers|  Crime dramas with a touch of humor," I enjoy movies with intense action sequences and suspenseful plots, such as True Lies, Con Air, and Enemy of the State.|  I appreciate movies that blend elements of crime, drama, and humor, like Loaded Weapon 1, True Romance, and The Thomas Crown Affair."
5,5,가끔봄,균형형,취향형, I enjoy a mix of drama and thriller movies.|  I have a soft spot for quirky and offbeat comedies.," I tend to rate movies like The Usual Suspects, L.A. Confidential, and American History X highly, which are known for their intense and suspenseful storytelling.|  Movies like Being John Malkovich, Fargo, and The Full Monty are some of my favorites due to their unique humor and unconventional storytelling."
6,6,가끔봄,균형형,탐험형, I have a preference for classic and iconic films.|  I appreciate a mix of drama and historical films.," I enjoy movies like Citizen Kane, Casablanca, and It's a Wonderful Life, which are considered timeless classics in the film industry.|  I enjoy movies like Gandhi, Schindler's List, and Apocalypse Now, which provide powerful storytelling and historical context."
7,7,가끔봄,균형형,취향형, Classic Drama|  Classic Comedy," I tend to enjoy movies with deep emotional storylines and character development, such as The Shawshank Redemption and On the Waterfront.|  I also appreciate classic comedies with witty dialogue and humorous situations, like His Girl Friday and The Odd Couple."
8,8,가끔봄,균형형,취향형, Drama enthusiast|  Adventure and Action lover," I tend to enjoy movies with deep emotional storylines and complex character development, which is evident in my high ratings for movies like American Beauty, Leaving Las Vegas, and Cry, the Beloved Country.|  I have a strong affinity for movies that offer thrilling adventures and exciting action sequences, as seen in my high ratings for films like Indiana Jones and the Last Crusade, Titanic, and The Boat (Das Boot)."
9,9,가끔봄,독립형,균형형, I enjoy a mix of dark comedy and satire.|  I have a preference for intense action and science fiction.," Because I rated ""Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb"" highly, which is a satirical dark comedy.|  As seen in my high ratings for ""Gladiator,"" ""Matrix,"" and ""Alien,"" I appreciate movies with intense action sequences and a science fiction theme."
10,10,가끔봄,균형형,취향형, Classic Drama|  Action Adventure," I tend to enjoy movies with deep emotional storylines and complex characters, such as Raging Bull, Shawshank Redemption, and One Flew Over the Cuckoo's Nest.|  I have a soft spot for thrilling and adventurous movies like Raiders of the Lost Ark, Braveheart, and Saving Private Ryan."
11,11,자주봄,독립형,탐험형, Classic Family-Friendly|  Action-Comedy Adventure," I enjoy movies that are suitable for the whole family to watch together, with heartwarming stories and positive messages.|  I gravitate towards movies that combine thrilling action sequences with humor, providing an entertaining and engaging viewing experience."
12,12,가끔봄,독립형,탐험형, Classic Comedy|  Thrilling Drama," I enjoy movies like Animal House, Ace Ventura: Pet Detective, and There's Something About Mary that are known for their humor and comedic elements.|  I appreciate movies like The Usual Suspects, Schindler's List, and The Fugitive that are intense and gripping with complex storylines and emotional depth."
13,13,가끔봄,균형형,균형형, Action-Adventure|  Crime-Drama," I enjoy movies with thrilling action sequences and adventurous storylines, such as Indiana Jones and Star Wars.|  I appreciate movies with intense drama and intricate plots, like GoodFellas and The Godfather."
14,14,가끔봄,독립형,탐험형, Classic Hollywood|  Quirky Comedy," I enjoy movies from the 1940s, 1950s, and 1960s, such as Auntie Mame, To Catch a Thief, and Bonnie and Clyde.|  I appreciate offbeat comedies like Small Time Crooks, Hairspray, and To Wong Foo, Thanks for Everything! Julie Newmar."
15,15,자주봄,독립형,취향형, Action-packed|  Sci-fi and Fantasy," I enjoy movies with intense action sequences and thrilling plotlines, such as Die Hard: With a Vengeance and Mission: Impossible.|  I have a fondness for movies set in futuristic or otherworldly settings, like The Fifth Element and Star Trek: First Contact."
16,16,가끔봄,균형형,취향형, Action-packed Sci-Fi Lover|  War and Military Enthusiast," I enjoy movies with thrilling action sequences and futuristic elements, such as Independence Day, The Matrix, and Stargate.|  I appreciate movies that focus on war and military themes, like Saving Private Ryan, Gladiator, and Top Gun."
17,17,가끔봄,독립형,취향형, Classic Film Enthusiast|  Action and Adventure Fan," I enjoy movies like African Queen, The (1951), Breakfast at Tiffany's (1961), and Auntie Mame (1958) which are considered classic films from the mid-20th century.|  I love action-packed movies like Terminator 2: Judgment Day (1991), Mission: Impossible (1996), and Goldfinger (1964) that keep me on the edge of my seat with thrilling sequences."
18,18,가끔봄,균형형,탐험형," I have a preference for classic and critically acclaimed films.|  I gravitate towards a mix of drama, suspense, and independent films.", I enjoy movies that have stood the test of time and are highly regarded by both audiences and critics.|  I appreciate movies that challenge traditional storytelling and explore complex themes in a thought-provoking manner.
19,19,가끔봄,독립형,취향형, Action/Adventure|  Comedy," I enjoy movies with thrilling action sequences and adventurous storylines, such as ""Pitch Black"", ""Deep Impact"", and ""The Patriot"".|  I appreciate movies that make me laugh and have a light-hearted tone, like ""Small Time Crooks"", ""Blues Brothers 2000"", and ""Chicken Run""."
