policy,rerank,avatar_id,taste,activity,conformity,diversity,page,recommended,watched,rating,feeling,ground_truth
MF,Prefer,1, I enjoy heartwarming and inspirational movies.|  I have a fondness for classic family-friendly films.,가끔봄,동조형,취향형,1,"['Star Wars: Episode IV - A New Hope (1977)', 'Babe (1995)', 'Jungle Book, The (1967)', 'Shakespeare in Love (1998)']","['Babe', 'Jungle Book, The']","[5, 4]","['I found it utterly delightful and heartwarming.  ', 'It was an enjoyable adventure, though not as impactful as I hoped.  ']",['Star Wars: Episode IV - A New Hope (1977)']
MF,Prefer,2, Eclectic|  Intense,자주봄,균형형,취향형,1,"['Forrest Gump (1994)', 'Saving Private Ryan (1998)', 'Shawshank Redemption, The (1994)', 'As Good As It Gets (1997)']","['Forrest Gump', 'Saving Private Ryan', 'Shawshank Redemption']","[5, 4, 5]","['This film left me inspired and deeply moved by its storytelling.', 'The intense action and emotional depth made it a powerful viewing experience.', 'The profound themes of hope and friendship resonated with me on a personal level.']",['Saving Private Ryan (1998)']
MF,Prefer,2, Eclectic|  Intense,자주봄,균형형,취향형,2,"['Babe (1995)', 'Austin Powers: International Man of Mystery (1997)', 'Get Shorty (1995)', 'Full Monty, The (1997)']",[],[],[],[]
MF,Prefer,3, Classic Comedy|  Action Adventure,자주봄,균형형,균형형,1,"['Graduate, The (1967)', 'Beetlejuice (1988)', 'Mary Poppins (1964)', 'Casablanca (1942)']","['Graduate, The (1967)', 'Beetlejuice (1988)', 'Mary Poppins (1964)', 'Casablanca (1942)']","[4, 4, 5, 5]","['I found it to be a thought-provoking exploration of relationships.  ', 'It was delightfully quirky and entertaining.  ', 'It filled me with joy and nostalgia through its magical storytelling.  ', 'It was a beautifully crafted film with deep emotional resonance.  ']",['Beetlejuice (1988)']
MF,Prefer,3, Classic Comedy|  Action Adventure,자주봄,균형형,균형형,2,"['Crying Game, The (1992)', 'Babe (1995)', 'Sting, The (1973)', 'Saving Private Ryan (1998)']","['Babe (1995)', 'Sting, The (1973)']","[4, 5]","['I found it delightful and heartwarming, with a unique story that resonated with me.', 'I thoroughly enjoyed the clever plot and engaging characters, making it a standout film for me.']","['Sting, The (1973)']"
MF,Prefer,3, Classic Comedy|  Action Adventure,자주봄,균형형,균형형,3,"['M*A*S*H (1970)', 'Life Is Beautiful (La Vita ï¿½ bella) (1997)', 'Breakfast Club, The (1985)', 'Run Lola Run (Lola rennt) (1998)']","['M*A*S*H (1970)', 'Life Is Beautiful (La Vita è bella) (1997)', 'Breakfast Club, The (1985)', 'Run Lola Run (Lola rennt) (1998)']","[4, 5, 4, 5]","['Found it entertaining and thought-provoking with a unique blend of humor and seriousness.  ', ""Deeply moved by the emotional storytelling and the father's creativity in dire circumstances.  "", 'Enjoyed the character dynamics and the exploration of teenage struggles and friendships.  ', 'Thrilling and engaging, loved the fast-paced narrative and the urgency of the plot.  ']",[]
MF,Prefer,3, Classic Comedy|  Action Adventure,자주봄,균형형,균형형,4,"['Some Like It Hot (1959)', 'Splash (1984)', 'Thelma & Louise (1991)', 'Bull Durham (1988)']","['Some Like It Hot (1959)', 'Thelma & Louise (1991)']","[5, 4]","['I found it hilariously entertaining and loved the clever humor.  ', 'It was an engaging adventure with strong performances, though a bit intense for my usual taste.  ']",['Some Like It Hot (1959)']
MF,Prefer,4, Romantic Comedy Enthusiast|  Classic Musical Lover,가끔봄,독립형,균형형,1,"['Sixth Sense, The (1999)', 'American Beauty (1999)', 'North by Northwest (1959)', 'Being John Malkovich (1999)']",['North by Northwest'],[4],"['I was captivated by the thrilling plot and classic charm, making it a memorable experience.']",[]
MF,Prefer,5, Action-packed thrillers|  Crime dramas with a touch of humor,가끔봄,균형형,취향형,1,"['X-Men (2000)', 'Lethal Weapon 3 (1992)', 'Indiana Jones and the Last Crusade (1989)', 'Lethal Weapon (1987)']","['Lethal Weapon 3 (1992)', 'Lethal Weapon (1987)', 'X-Men (2000)']","[4, 5, 4]","['It was an exhilarating ride filled with laughter and action that I thoroughly enjoyed.', 'This movie perfectly captured the essence of buddy cop dynamics and kept me entertained throughout.', 'The action and character dynamics were engaging, making it a solid watch for my taste.']",[]
MF,Prefer,6, I enjoy a mix of drama and thriller movies.|  I have a soft spot for quirky and offbeat comedies.,가끔봄,균형형,취향형,1,"['GoodFellas (1990)', 'Life Is Beautiful (La Vita ï¿½ bella) (1997)', 'Pulp Fiction (1994)', 'Shawshank Redemption, The (1994)']","['GoodFellas', 'Pulp Fiction', 'Shawshank Redemption']","[5, 5, 4]","['A masterful portrayal of the mob life that kept me on the edge of my seat.  ', 'An incredibly clever and engaging film that left me thinking long after it ended.  ', 'A beautifully crafted story of hope, though slightly less intense than I typically prefer.  ']","['GoodFellas (1990)', 'Pulp Fiction (1994)', 'Shawshank Redemption, The (1994)']"
MF,Prefer,7, I have a preference for classic and iconic films.|  I appreciate a mix of drama and historical films.,가끔봄,균형형,탐험형,1,"['Annie Hall (1977)', ""Schindler's List (1993)"", 'Chinatown (1974)', 'Star Wars: Episode V - The Empire Strikes Back (1980)']","[""Schindler's List"", 'Chinatown', 'Star Wars: Episode V - The Empire Strikes Back']","[5, 4, 4]","['A profoundly moving experience that left a lasting impact on my perspective of humanity.', 'An engaging and intricate story that kept me intellectually stimulated throughout.', 'A thrilling adventure that captivated my imagination and kept me on the edge of my seat.']","['Annie Hall (1977)', 'Chinatown (1974)']"
MF,Prefer,8, Classic Drama|  Classic Comedy,가끔봄,균형형,취향형,1,"['Godfather: Part II, The (1974)', 'Godfather, The (1972)', 'Citizen Kane (1941)', 'Amadeus (1984)']","['Godfather: Part II, The (1974)', 'Godfather, The (1972)', 'Citizen Kane (1941)', 'Amadeus (1984)']","[5, 5, 4, 4]","['An exceptional exploration of family and power that left a lasting impression.', 'A masterpiece that brilliantly captures the complexities of loyalty and betrayal.', 'A profound narrative that challenges perceptions of power and legacy.', 'A captivating portrayal of rivalry and genius that was both entertaining and thought-provoking.']",['Citizen Kane (1941)']
MF,Prefer,8, Classic Drama|  Classic Comedy,가끔봄,균형형,취향형,2,"['Annie Hall (1977)', 'Wizard of Oz, The (1939)', 'Star Wars: Episode V - The Empire Strikes Back (1980)', 'E.T. the Extra-Terrestrial (1982)']",[],[],[],[]
MF,Prefer,9, Drama enthusiast|  Adventure and Action lover,가끔봄,균형형,취향형,1,"['Shawshank Redemption, The (1994)', ""Schindler's List (1993)"", 'Forrest Gump (1994)', 'Babe (1995)']","['Shawshank Redemption, The (1994)', ""Schindler's List (1993)"", 'Forrest Gump (1994)']","[5, 5, 4]","['This film left me inspired and deeply moved by its powerful storytelling.', 'The emotional weight and historical significance of this film profoundly impacted me.', 'I enjoyed the blend of humor and heartfelt moments, making it a memorable experience.']",['Forrest Gump (1994)']
MF,Prefer,9, Drama enthusiast|  Adventure and Action lover,가끔봄,균형형,취향형,2,"['Fargo (1996)', 'E.T. the Extra-Terrestrial (1982)', 'Jerry Maguire (1996)', 'Psycho (1960)']","['Fargo (1996)', 'Jerry Maguire (1996)', 'Psycho (1960)']","[4, 4, 5]","['The intricate plot and dark humor left me both entertained and reflective.', 'The blend of romance and ethical dilemmas resonated with me deeply.', 'The suspense and psychological depth were captivating, making it a memorable experience.']",[]
MF,Prefer,9, Drama enthusiast|  Adventure and Action lover,가끔봄,균형형,취향형,3,"['Christmas Story, A (1983)', 'Annie Hall (1977)', 'Princess Bride, The (1987)', 'Wizard of Oz, The (1939)']","['Annie Hall', 'The Princess Bride']","[4, 5]","['I found it to be a clever and insightful reflection on relationships that resonated with me.', 'The blend of adventure, humor, and romance captivated me completely.']",[]
MF,Prefer,10, I enjoy a mix of dark comedy and satire.|  I have a preference for intense action and science fiction.,가끔봄,독립형,균형형,1,"[""Schindler's List (1993)"", 'Fargo (1996)', 'Terminator, The (1984)', 'Star Wars: Episode IV - A New Hope (1977)']","['Terminator, The', 'Star Wars: Episode IV - A New Hope']","[5, 5]","['I was thrilled by the relentless action and gripping storyline.', 'The epic adventure and nostalgic elements left me feeling inspired and entertained.']","[""Schindler's List (1993)"", 'Terminator, The (1984)', 'Star Wars: Episode IV - A New Hope (1977)']"
MF,Prefer,11, Classic Drama|  Action Adventure,가끔봄,균형형,취향형,1,"['American Beauty (1999)', 'E.T. the Extra-Terrestrial (1982)', 'Star Wars: Episode V - The Empire Strikes Back (1980)', 'Silence of the Lambs, The (1991)']","['Star Wars: Episode V - The Empire Strikes Back', 'Silence of the Lambs, The']","[4, 5]","['The epic battles and character depth left me exhilarated and wanting more.', 'The psychological intensity and masterful storytelling captivated me completely.']",[]
MF,Prefer,12, Classic Family-Friendly|  Action-Comedy Adventure,자주봄,독립형,탐험형,1,"['Star Wars: Episode IV - A New Hope (1977)', 'Austin Powers: International Man of Mystery (1997)', 'Shakespeare in Love (1998)', 'Jurassic Park (1993)']","['Star Wars: Episode IV - A New Hope', 'Jurassic Park']","[5, 4]","['It was an exhilarating journey that left me inspired and eager for more.', 'The suspense and excitement were captivating, making it a memorable experience.']","['Shakespeare in Love (1998)', 'Jurassic Park (1993)']"
MF,Prefer,12, Classic Family-Friendly|  Action-Comedy Adventure,자주봄,독립형,탐험형,2,"['Abyss, The (1989)', 'Arachnophobia (1990)', 'Ghost (1990)', 'As Good As It Gets (1997)']","['The Abyss', 'Ghost', 'As Good As It Gets']","[4, 5, 4]","['I was captivated by the underwater adventure and the tension it created.', 'The love story was beautifully touching and left me feeling deeply moved.', 'The character development and humor made for an enjoyable and heartfelt experience.']","['Abyss, The (1989)', 'Arachnophobia (1990)', 'As Good As It Gets (1997)']"
MF,Prefer,12, Classic Family-Friendly|  Action-Comedy Adventure,자주봄,독립형,탐험형,3,"['South Park: Bigger, Longer and Uncut (1999)', 'Men in Black (1997)', 'Galaxy Quest (1999)', 'Terminator 2: Judgment Day (1991)']","['Men in Black', 'Galaxy Quest', 'Terminator 2: Judgment Day']","[4, 5, 5]","['It was a fun and engaging ride with great chemistry between the characters.', 'I loved the clever humor and the nostalgic nods to sci-fi culture.', 'The action was intense, and the story was emotionally gripping, making it a classic for me.']","['South Park: Bigger, Longer and Uncut (1999)', 'Men in Black (1997)', 'Galaxy Quest (1999)', 'Terminator 2: Judgment Day (1991)']"
MF,Prefer,12, Classic Family-Friendly|  Action-Comedy Adventure,자주봄,독립형,탐험형,4,"[""You've Got Mail (1998)"", 'Matrix, The (1999)', 'Office Space (1999)', 'Rushmore (1998)']","[""You've Got Mail"", 'Matrix, The']","[4, 5]","['It was a charming and delightful experience that warmed my heart.', 'It was an exhilarating ride that kept me on the edge of my seat and made me think deeply about reality.']","['Matrix, The (1999)', 'Office Space (1999)']"
MF,Prefer,13, Classic Comedy|  Thrilling Drama,가끔봄,독립형,탐험형,1,"['Forrest Gump (1994)', 'Shakespeare in Love (1998)', 'Star Wars: Episode IV - A New Hope (1977)', 'Silence of the Lambs, The (1991)']","['Forrest Gump', 'Star Wars: Episode IV - A New Hope', 'Silence of the Lambs, The']","[4, 5, 4]","['A heartwarming journey that beautifully intertwines personal and historical narratives.', 'An epic adventure that ignites the imagination and showcases strong characters.', 'A gripping psychological thriller that kept me on the edge of my seat.']","['Shakespeare in Love (1998)', 'Star Wars: Episode IV - A New Hope (1977)']"
MF,Prefer,14, Action-Adventure|  Crime-Drama,가끔봄,균형형,균형형,1,"['Terminator 2: Judgment Day (1991)', 'Star Wars: Episode I - The Phantom Menace (1999)', 'Fugitive, The (1993)', 'Total Recall (1990)']","['Terminator 2: Judgment Day', 'Fugitive, The', 'Total Recall']","[5, 4, 4]","['This film exceeded my expectations with its thrilling action and iconic moments.', 'I found it engaging and suspenseful, keeping me on the edge of my seat.', 'It was a mind-bending experience that I thoroughly enjoyed.']",['Star Wars: Episode I - The Phantom Menace (1999)']
MF,Prefer,15, Classic Hollywood|  Quirky Comedy,가끔봄,독립형,탐험형,1,"['Raiders of the Lost Ark (1981)', 'Insider, The (1999)', 'Godfather: Part II, The (1974)', 'Exorcist, The (1973)']","['Raiders of the Lost Ark', 'Insider, The', 'Godfather: Part II']","[4, 5, 5]","['An exhilarating adventure that kept me on the edge of my seat.', 'A powerful and thought-provoking film that resonated deeply with me.', 'A masterful exploration of power and family that left a lasting impression.']",[]
MF,Prefer,15, Classic Hollywood|  Quirky Comedy,가끔봄,독립형,탐험형,2,"['American Pie (1999)', 'Star Wars: Episode IV - A New Hope (1977)', 'Eyes Wide Shut (1999)', 'Thomas Crown Affair, The (1999)']","['Star Wars: Episode IV - A New Hope', 'Thomas Crown Affair, The']","[5, 4]","['An exhilarating journey through a galaxy far, far away that left me inspired.', 'A clever and stylish heist that kept me on the edge of my seat, though not as impactful as I hoped.']","['Thomas Crown Affair, The (1999)']"
MF,Prefer,16, Action-packed|  Sci-fi and Fantasy,자주봄,독립형,취향형,1,"['Jurassic Park (1993)', 'Total Recall (1990)', 'X-Men (2000)', 'Star Wars: Episode I - The Phantom Menace (1999)']","['Jurassic Park', 'Total Recall', 'X-Men']","[5, 4, 4]","['The thrilling experience of dinosaurs running amok was exhilarating and unforgettable.  ', 'The journey through deception was captivating, though slightly complex.  ', 'The action and character dynamics were engaging, making it a fun watch.  ']","['Jurassic Park (1993)', 'Total Recall (1990)']"
MF,Prefer,16, Action-packed|  Sci-fi and Fantasy,자주봄,독립형,취향형,2,"['Die Hard 2 (1990)', 'Star Wars: Episode VI - Return of the Jedi (1983)', 'Twister (1996)', 'Demolition Man (1993)']","['Die Hard 2', 'Demolition Man']","[5, 4]","['I was thrilled by the intense action and gripping plot.', 'I enjoyed the imaginative storytelling and action, though it felt a bit unconventional.']","['Die Hard 2 (1990)', 'Demolition Man (1993)']"
MF,Prefer,16, Action-packed|  Sci-fi and Fantasy,자주봄,독립형,취향형,3,"['Mummy, The (1999)', 'Alienï¿½ (1992)', 'Con Air (1997)', 'Crow, The (1994)']","['The Mummy', 'Alien', 'Con Air']","[4, 5, 4]","['I enjoyed the thrilling adventure and supernatural elements, making it an entertaining watch.', 'The suspense and intense action kept me on the edge of my seat, truly a masterpiece in sci-fi.', 'The action and storyline were engaging, providing an exciting escape.']",['Con Air (1997)']
MF,Prefer,17, Action-packed Sci-Fi Lover|  War and Military Enthusiast,가끔봄,균형형,취향형,1,"['Titan A.E. (2000)', 'Patriot, The (2000)', 'Braveheart (1995)', 'Total Recall (1990)']","['Titan A.E.', 'Patriot, The', 'Braveheart', 'Total Recall']","[4, 4, 5, 4]","['I found it to be an engaging and visually stunning adventure.', 'The story of resilience and bravery resonated with me deeply.', 'It was an epic tale that moved me and left a lasting impression.', 'The mind-bending plot kept me on the edge of my seat.']","['Titan A.E. (2000)', 'Patriot, The (2000)']"
MF,Prefer,17, Action-packed Sci-Fi Lover|  War and Military Enthusiast,가끔봄,균형형,취향형,2,"['Twister (1996)', 'Contact (1997)', 'Sixth Sense, The (1999)', 'Abyss, The (1989)']","['Contact', 'Sixth Sense, The', 'Abyss, The']","[4, 5, 4]","['The exploration of extraterrestrial intelligence was captivating and thought-provoking.', 'The twist and emotional depth left a lasting impression on me.', 'The combination of suspense and sci-fi elements created an engaging experience.']",[]
MF,Prefer,18, Classic Film Enthusiast|  Action and Adventure Fan,가끔봄,독립형,취향형,1,"['Forrest Gump (1994)', 'Lethal Weapon (1987)', 'Star Wars: Episode IV - A New Hope (1977)', 'Casablanca (1942)']","['Forrest Gump', 'Casablanca']","[5, 5]","['I was deeply moved by the journey and the emotional resonance of the story.', 'The timeless romance and moral dilemmas left a lasting impression on me.']",['Star Wars: Episode IV - A New Hope (1977)']
MF,Prefer,19," I have a preference for classic and critically acclaimed films.|  I gravitate towards a mix of drama, suspense, and independent films.",가끔봄,균형형,탐험형,1,"[""Schindler's List (1993)"", 'Good Will Hunting (1997)', 'GoodFellas (1990)', 'E.T. the Extra-Terrestrial (1982)']","[""Schindler's List"", 'Good Will Hunting', 'GoodFellas']","[5, 4, 4]","['A profound and haunting experience that left a lasting impact.', 'An emotionally resonant journey that beautifully captures the struggle for self-discovery.', 'A gripping and intense portrayal of the mob life that kept me on the edge of my seat.']","[""Schindler's List (1993)"", 'Good Will Hunting (1997)', 'E.T. the Extra-Terrestrial (1982)']"
MF,Prefer,20, Action/Adventure|  Comedy,가끔봄,독립형,취향형,1,"['Lost World: Jurassic Park, The (1997)', 'Terminator 2: Judgment Day (1991)', 'Demolition Man (1993)', 'Star Wars: Episode I - The Phantom Menace (1999)']","['Terminator 2: Judgment Day', 'Star Wars: Episode I - The Phantom Menace']","[5, 4]","['This film exceeded my expectations with its thrilling action and compelling story.', ""I enjoyed the adventure and world-building, though it didn't quite reach the heights of my favorite sci-fi films.""]","['Lost World: Jurassic Park, The (1997)', 'Terminator 2: Judgment Day (1991)', 'Demolition Man (1993)', 'Star Wars: Episode I - The Phantom Menace (1999)']"
MF,Prefer,21, I enjoy a mix of classic and modern films.|  I have a preference for a wide range of genres.,가끔봄,균형형,탐험형,1,"['E.T. the Extra-Terrestrial (1982)', 'Star Wars: Episode IV - A New Hope (1977)', ""Schindler's List (1993)"", 'Casablanca (1942)']","['E.T. the Extra-Terrestrial', 'Star Wars: Episode IV - A New Hope', 'Casablanca']","[5, 4, 4]","['I felt a deep sense of nostalgia and warmth throughout the film.', 'The thrilling adventure and iconic characters left me excited and inspired.', 'The emotional depth and classic romance resonated with me profoundly.']","['E.T. the Extra-Terrestrial (1982)', 'Star Wars: Episode IV - A New Hope (1977)', 'Casablanca (1942)']"
MF,Prefer,22, Action-packed thrillers|  Thought-provoking dramas,자주봄,동조형,탐험형,1,"['Braveheart (1995)', 'Mission: Impossible (1996)', 'Speed (1994)', 'Jurassic Park (1993)']","['Braveheart', 'Mission: Impossible', 'Speed', 'Jurassic Park']","[5, 4, 4, 5]","['An epic tale that resonated deeply with me.  ', 'A thrilling ride with great twists and turns.  ', 'Intense and gripping from start to finish.  ', 'A classic adventure that captivated my imagination.  ']","['Braveheart (1995)', 'Mission: Impossible (1996)', 'Speed (1994)', 'Jurassic Park (1993)']"
MF,Prefer,22, Action-packed thrillers|  Thought-provoking dramas,자주봄,동조형,탐험형,2,"['Raiders of the Lost Ark (1981)', 'Total Recall (1990)', 'Lethal Weapon (1987)', 'Twister (1996)']","['Raiders of the Lost Ark', 'Total Recall', 'Lethal Weapon']","[5, 4, 4]","['I was captivated by the thrilling adventure and iconic moments.', 'The mind-bending plot kept me engaged, though some parts were a bit confusing.', 'The chemistry between the characters added a fun dynamic to the action.']","['Raiders of the Lost Ark (1981)', 'Twister (1996)']"
MF,Prefer,22, Action-packed thrillers|  Thought-provoking dramas,자주봄,동조형,탐험형,3,"['Star Wars: Episode I - The Phantom Menace (1999)', 'Tomorrow Never Dies (1997)', 'Aliens (1986)', 'Fargo (1996)']","['Star Wars: Episode I - The Phantom Menace', 'Tomorrow Never Dies', 'Aliens']","[4, 4, 5]","['I found it to be an exciting adventure with memorable characters.  ', 'The action and intrigue kept me engaged throughout.  ', 'It was a thrilling experience with intense action and suspense.  ']","['Star Wars: Episode I - The Phantom Menace (1999)', 'Tomorrow Never Dies (1997)']"
MF,Prefer,22, Action-packed thrillers|  Thought-provoking dramas,자주봄,동조형,탐험형,4,"['Mask of Zorro, The (1998)', 'Abyss, The (1989)', 'Last of the Mohicans, The (1992)', 'Indiana Jones and the Last Crusade (1989)']","['Mask of Zorro, The', 'Last of the Mohicans, The', 'Indiana Jones and the Last Crusade']","[4, 5, 5]","['Enjoyed the thrilling adventure and character dynamics.  ', 'Captivated by the emotional depth and historical context.  ', 'Thrilled by the action and nostalgic elements of the quest.  ']",['Indiana Jones and the Last Crusade (1989)']
MF,Prefer,23, Classic Hollywood|  Quirky and Offbeat,가끔봄,동조형,탐험형,1,"['American Beauty (1999)', 'Toy Story 2 (1999)', 'Silence of the Lambs, The (1991)', 'Good Will Hunting (1997)']","['American Beauty', 'Toy Story 2', 'Silence of the Lambs, The', 'Good Will Hunting']","[4, 5, 5, 4]","['It was a profound exploration of life that left me reflecting on my own choices.  ', 'A delightful adventure that brought back fond memories and made me smile throughout.  ', 'A gripping and intense experience that kept me on the edge of my seat.  ', 'An inspiring story that resonated deeply with my own journey of self-discovery.  ']","['American Beauty (1999)', 'Silence of the Lambs, The (1991)']"
MF,Prefer,23, Classic Hollywood|  Quirky and Offbeat,가끔봄,동조형,탐험형,2,"['Groundhog Day (1993)', 'Princess Bride, The (1987)', 'Saving Private Ryan (1998)', 'E.T. the Extra-Terrestrial (1982)']","['Groundhog Day', 'Princess Bride, The', 'E.T. the Extra-Terrestrial']","[5, 5, 4]","[""I found it to be a delightful exploration of life's deeper meanings wrapped in humor.  "", 'It was a charming adventure that perfectly blended romance and comedy, leaving me enchanted.  ', 'A touching story that captured my heart, though I wished for a bit more adventure.  ']","['Groundhog Day (1993)', 'Saving Private Ryan (1998)', 'E.T. the Extra-Terrestrial (1982)']"
MF,Prefer,23, Classic Hollywood|  Quirky and Offbeat,가끔봄,동조형,탐험형,3,"['Forrest Gump (1994)', 'Godfather: Part II, The (1974)', 'Casablanca (1942)', 'Toy Story (1995)']","['Forrest Gump', 'Casablanca', 'Toy Story']","[5, 4, 5]","['I was deeply moved by the heartwarming story and the extraordinary adventures.', 'The love triangle and historical context captivated me, though it felt a bit slow at times.', 'The blend of adventure and humor made it a delightful and nostalgic experience.']",['Toy Story (1995)']
MF,Prefer,24, I have a preference for classic action and thriller movies.|  I appreciate romantic comedies and dramas with a touch of quirkiness.,가끔봄,균형형,취향형,1,"['American Beauty (1999)', 'Groundhog Day (1993)', 'Forrest Gump (1994)', 'Sixth Sense, The (1999)']","['Groundhog Day', 'Forrest Gump']","[4, 5]","['I found it charming and thought-provoking, with a delightful blend of humor and romance.  ', 'It was an emotional journey that beautifully captured the essence of life and love.  ']","['American Beauty (1999)', 'Groundhog Day (1993)', 'Forrest Gump (1994)', 'Sixth Sense, The (1999)']"
